,High,Low,Mean
0,6806.5,6720.0,6758.830321285141
0,6835.0,6761.5,6796.574776785715
0,6806.0,6728.0,6768.995353159851
0,6747.0,6649.0,6692.081794195251
0,6760.0,6700.0,6737.4913594470045
0,6848.0,6717.0,6771.854761904762
0,6831.0,6760.0,6797.8850961538465
0,6805.0,6746.0,6770.236928104575
0,6826.0,6772.0,6794.097701149425
0,6860.0,6790.5,6841.248927038627
0,6890.0,6857.5,6870.938186813187
0,6955.0,6870.0,6896.784435261708
0,6995.0,6902.0,6946.739864864865
0,6943.0,6689.0,6776.023172905526
0,6684.0,6533.0,6609.469026548672
0,6582.5,6452.0,6500.615384615385
0,6570.0,6476.0,6524.354927007299
0,6670.0,6590.0,6635.935599284437
0,6662.5,6511.0,6570.322183098591
0,6583.0,6485.0,6530.71963028169
0,6635.0,6536.0,6589.952127659574
0,6696.0,6561.5,6646.255424954792
0,6726.0,6656.5,6698.3313743218805
0,6724.0,6500.5,6616.357394366197
0,6519.5,6425.0,6476.524734982332
0,6518.0,6336.0,6408.011821366024
0,6388.0,6295.0,6352.264090909091
0,6498.0,6368.0,6440.345388788427
0,6363.0,6270.0,6320.656637168142
0,6430.0,6300.5,6359.285840707965
0,6467.0,6409.0,6435.305008944544
0,6486.0,6337.0,6422.497779751332
0,6350.0,6249.0,6313.470162748644
0,6374.5,6238.0,6318.537811387901
0,6356.0,6253.0,6311.951769911504
0,6368.5,6255.0,6306.617517605634
0,6365.0,6152.0,6235.616402116402
0,6230.0,6101.0,6163.075581395349
0,6321.0,6120.5,6244.114399293287
0,6464.0,6295.0,6377.879662522202
0,6332.0,6196.5,6269.310943060498
0,6327.0,6125.0,6210.9325744308235
0,6210.0,6017.0,6100.078646748682
0,6156.0,5965.0,6079.959964412811
0,6175.0,6034.0,6086.121681415929
0,6264.0,6100.0,6184.596085409253
0,6260.0,6094.0,6210.682761732852
0,6121.5,6023.0,6060.198476702509
0,6172.5,5981.5,6093.946460176991
0,6186.5,6040.0,6133.05360281195
0,6290.0,6059.0,6194.852393617021
0,6222.0,6094.0,6148.178249097473
0,6282.0,6040.5,6131.276408450704
0,6264.5,6112.5,6177.883362676056
0,6390.0,6256.0,6339.047619047619
0,6443.0,6311.0,6359.08909287257
0,6507.0,6392.0,6451.682518115942
0,6600.0,6445.0,6529.694937833037
0,6573.0,6447.0,6528.389534883721
0,6644.0,6377.0,6428.349023090586
0,6562.0,6427.0,6513.761607142857
0,6655.5,6545.0,6602.699016100179
0,6554.0,6382.0,6450.321428571428
0,6541.5,6432.0,6502.26320582878
0,6474.0,6382.0,6431.365178571428
0,6635.0,6485.0,6553.685612788632
0,6725.0,6562.5,6646.271798365123
0,6717.5,6607.0,6684.0467032967035
0,6695.5,6612.0,6648.140596745027
0,6771.0,6619.5,6672.059566787004
0,6702.0,6598.0,6640.877034358047
0,6833.5,6686.0,6771.919090909091
0,6847.5,6705.0,6765.484712230216
0,6798.0,6685.0,6750.206653225807
0,6739.0,6621.0,6670.758667883211
0,6628.0,6448.0,6525.9262367491165
0,6617.5,6438.0,6541.704268292683
0,6617.5,6496.0,6541.639189189189
0,6598.0,6415.0,6515.576584507042
0,6462.5,6305.0,6386.628583473862
0,6542.0,6403.0,6457.223779385172
0,6636.0,6516.5,6565.553992740472
0,6650.0,6555.5,6603.375237191651
0,6557.0,6404.5,6485.794039145908
0,6489.0,6386.0,6447.251811594203
0,6445.0,6322.0,6383.977272727273
0,6370.0,6149.0,6277.775892857143
0,6112.5,5877.0,6001.6230228471
0,6144.0,5998.0,6065.188829787234
0,6245.5,6144.5,6194.267793594306
0,6305.0,6180.0,6241.131555153707
0,6359.0,6208.0,6288.688969258589
0,6400.0,6235.0,6342.303057553957
0,6346.5,6164.0,6269.398097826087
0,6393.0,6244.0,6321.437728937729
0,6456.5,6348.0,6412.684512428298
0,6390.0,6202.0,6307.356032906764
0,6262.0,6186.0,6221.211538461538
0,6298.5,6215.5,6266.069679849341
0,6296.0,6196.0,6227.162661737523
0,6270.0,6135.0,6213.832737030411
0,6214.0,6109.0,6163.5362903225805
0,6293.5,6084.0,6188.902232142857
0,6336.5,6238.0,6292.25415896488
0,6328.0,6235.0,6278.361111111111
0,6377.0,6305.5,6342.375
0,6332.5,6200.0,6243.9005376344085
0,6286.0,6201.5,6243.957664884136
0,6247.5,6044.0,6124.150263620387
0,6150.5,6003.5,6080.538877952756
0,6147.0,6039.5,6087.460176991151
0,6148.5,6008.5,6089.030423280423
0,6255.0,6133.0,6206.531193490055
0,6275.0,6152.5,6224.20036101083
0,6266.5,6266.5,6266.5
0,6415.0,6280.5,6340.998648648649
0,6445.0,6325.0,6370.556654676259
0,6497.5,6375.0,6436.32536101083
0,6664.5,6443.0,6553.854129263914
0,6699.0,6545.5,6601.89990942029
0,6633.5,6520.5,6568.678825622776
0,6562.0,6491.0,6512.9488950276245
0,6567.0,6477.0,6523.597905282331
0,6548.0,6443.0,6477.338047445255
0,6555.0,6510.0,6532.203815261044
0,6578.5,6481.5,6530.769718309859
0,6630.0,6506.5,6574.7468354430375
0,6640.0,6551.5,6597.315682281059
0,6642.0,6556.0,6583.464219330855
0,6581.0,6520.0,6554.599907063197
0,6599.0,6557.0,6576.764124293785
0,6597.0,6487.5,6526.539560439561
0,6595.0,6461.5,6542.012272727273
0,6483.5,6423.0,6447.408396946565
0,6506.0,6406.0,6452.288606403014
0,6482.0,6412.0,6440.24295112782
0,6450.0,6353.0,6403.215949820788
0,6380.0,6269.0,6312.180327868852
0,6375.0,6309.0,6340.638446215139
0,6432.5,6348.0,6404.6776315789475
0,6519.5,6453.0,6479.82358490566
0,6495.0,6382.5,6450.065217391304
0,6484.0,6365.0,6434.4648648648645
0,6550.5,6424.0,6467.713747645951
0,6561.0,6502.0,6528.430297397769
0,6552.0,6487.5,6520.044280442805
0,6584.0,6511.0,6548.638627819549
0,6557.0,6493.5,6522.096834264432
0,6542.0,6485.0,6513.676136363636
