,Time,Open,High,Low,Close,Volume
0,2019-12-09 07:05:00,307.6,307.7,307.6,307.7,1185
1,2019-12-09 07:15:00,307.42,307.42,307.42,307.42,100
2,2019-12-09 07:35:00,307.25,307.25,307.25,307.25,200
3,2019-12-09 08:05:00,307.4,307.4,307.4,307.4,214
4,2019-12-09 08:10:00,307.4,307.4,307.4,307.4,100
5,2019-12-09 08:15:00,307.4,307.4,307.4,307.4,126
6,2019-12-09 08:20:00,307.01,307.01,307.01,307.01,126
7,2019-12-09 08:35:00,307.1,307.1,307.1,307.1,100
8,2019-12-09 08:40:00,307.18,307.18,307.18,307.18,300
9,2019-12-09 08:45:00,307.01,307.01,306.9999,306.9999,3002
10,2019-12-09 09:00:00,306.7,306.76,306.7,306.7,2485
11,2019-12-09 09:05:00,306.8,306.8,306.8,306.8,180
12,2019-12-09 09:10:00,306.6,306.6,306.6,306.6,1000
13,2019-12-09 09:20:00,306.72,306.72,306.72,306.72,205
14,2019-12-09 09:25:00,306.89,307.0,306.89,307.0,953
15,2019-12-09 09:35:00,307.35,308.5122,306.5,308.107,160998
16,2019-12-09 09:40:00,308.22,309.825,308.105,309.535,132008
17,2019-12-09 09:45:00,309.5485,309.585,308.595,308.79,67143
18,2019-12-09 09:50:00,308.9556,309.38,308.13,308.13,64107
19,2019-12-09 09:55:00,308.15,308.5,307.8,307.86,67319
20,2019-12-09 10:00:00,307.84,308.41,307.74,307.82,63132
21,2019-12-09 10:05:00,307.915,308.88,307.7,308.49,99380
22,2019-12-09 10:10:00,308.51,308.89,308.32,308.51,50932
23,2019-12-09 10:15:00,308.55,308.92,307.85,308.57,174646
24,2019-12-09 10:20:00,308.52,309.07,308.1,308.31,130497
25,2019-12-09 10:25:00,308.34,310.19,308.29,310.1167,129211
26,2019-12-09 10:30:00,310.13,311.49,310.0579,310.46,164317
27,2019-12-09 10:35:00,310.41,311.03,310.41,310.68,104253
28,2019-12-09 10:40:00,310.68,310.79,309.33,309.365,57276
29,2019-12-09 10:45:00,309.4,309.75,308.8588,309.0,88646
30,2019-12-09 10:50:00,309.0,309.1,308.52,308.74,73245
31,2019-12-09 10:55:00,308.82,309.02,308.17,308.4099,81778
32,2019-12-09 11:00:00,308.36,308.36,307.4306,307.75,193863
33,2019-12-09 11:05:00,307.77,308.1,307.48,308.0144,76845
34,2019-12-09 11:10:00,308.0,308.2,307.6062,308.19,67591
35,2019-12-09 11:15:00,308.0835,308.2,307.81,308.0183,44129
36,2019-12-09 11:20:00,307.96,308.2244,307.96,308.1,19773
37,2019-12-09 11:25:00,308.05,308.2899,307.95,308.1601,22483
38,2019-12-09 11:30:00,308.11,308.3662,307.824,308.16,37873
39,2019-12-09 11:35:00,308.16,308.6796,308.16,308.32,48706
40,2019-12-09 11:40:00,308.28,308.485,307.98,308.2,48255
41,2019-12-09 11:45:00,308.25,308.36,307.9,308.01,81922
42,2019-12-09 11:50:00,307.93,308.18,307.9,308.0,18300
43,2019-12-09 11:55:00,308.01,308.15,307.7799,307.87,25908
44,2019-12-09 12:00:00,307.8609,307.99,307.53,307.61,34040
45,2019-12-09 12:05:00,307.66,308.0547,307.66,307.92,13217
46,2019-12-09 12:10:00,307.8525,307.99,307.63,307.725,27235
47,2019-12-09 12:15:00,307.72,307.9,307.25,307.27,30381
48,2019-12-09 12:20:00,307.3184,307.4199,307.12,307.4199,38361
49,2019-12-09 12:25:00,307.42,307.42,306.93,307.18,49113
50,2019-12-09 12:30:00,307.21,307.2459,306.5,306.75,36585
51,2019-12-09 12:35:00,306.6997,307.16,306.67,306.97,30178
52,2019-12-09 12:40:00,306.9,307.0883,306.78,306.9492,13027
53,2019-12-09 12:45:00,306.98,307.08,306.775,306.87,20265
54,2019-12-09 12:50:00,306.8895,306.8895,306.14,306.26,59611
55,2019-12-09 12:55:00,306.2,306.21,305.01,305.1195,176522
56,2019-12-09 13:00:00,305.16,305.82,304.85,305.53,128667
57,2019-12-09 13:05:00,305.55,305.595,305.14,305.41,62158
58,2019-12-09 13:10:00,305.413,305.78,305.32,305.71,64184
59,2019-12-09 13:15:00,305.71,305.71,305.335,305.545,37758
60,2019-12-09 13:20:00,305.5031,305.5494,305.0,305.06,47029
61,2019-12-09 13:25:00,305.0872,305.2,304.6325,304.6325,48208
62,2019-12-09 13:30:00,304.6,305.2499,304.5,304.6706,110339
63,2019-12-09 13:35:00,304.657,304.83,304.5138,304.73,24735
